title,price,offer,category,site
Kingston DataTraveler Exodia USB 3.2 Flash Drive With Protective Cap 256.0 GB,810,N/A,data-storage,noon
"crucial BX500 SATA 2.5"" Internal SSD, 500GB Capacity, 540 Mb/s Sequential Read, 500 Mb/s Sequential Write, 120TB TBW SSD Endurance, Black | CT500BX500SSD1 500 GB","1,650",N/A,data-storage,noon
HIKVISION C100 SSD 120 GB,650.95,N/A,data-storage,noon
"Sandisk 2TB Extreme Portable Ssd - Up To 1050Mb/S - Usb-C, Usb 3.2 Gen 2 - External Solid State Drive - Sdssde61-2T00-G25 2 TB","8,595",18% Off,data-storage,noon
Lexar NM620 M.2 2280 NVMe SSD 256GB up to 3500MB/s LNM620X256G 256 GB,999,N/A,data-storage,noon
HIKVISION 64GB microSDXC Card /Class 10 with Adapter 64 GB,195,34% Off,data-storage,noon
Uniview UNV SSD-512G-P3-M2 U3000 series SSD,"1,400",N/A,data-storage,noon
"Sandisk Memory card Extreme Pro,A2 Specification microSDXC 64 GB",699,30% Off,data-storage,noon
Kingston Canvas Select Plus MicroSD UHS-1 Memory Card 128 GB,399,23% Off,data-storage,noon
"HIKVISION Internal Laptop Hard Disk, HS-SSD-E100/256G - 256 GB",940,N/A,data-storage,noon
HIKVISION C1 Series MicroSD Memory Card Black,125,N/A,data-storage,noon
"crucial Crucial P3 2TB PCIe Gen3 3D NAND NVMe M.2 SSD, up to 3500MB/s - CT2000P3SSD8 Black 2 TB","6,150",N/A,data-storage,noon
Kingston SATA III A400 SSD Internal Solid State Drive - SA400S37/960G 960 GB,"2,959",N/A,data-storage,noon
Kingston A400 480GB Internal Solid State Drive SA400S37/480G 480 GB,"1,549",18% Off,data-storage,noon
HIKVISION External SSD 256GB USB3.1 Type-C SSD External Solid State Drive for Laptop 256 GB,"1,990",43% Off,data-storage,noon
Kingston Kingston DataTraveler SE9 Gen 3-512GB - 220MB/s read- Metal - USB 3.2  - Gold 512 GB,"1,696",N/A,data-storage,noon
Ugreen 2.5-Inch SATA External Hard Drive Enclosure 6 TB,650,44% Off,data-storage,noon
"Sandisk Extreme PRO SDXC card + RescuePRO Deluxe, Up To 200MB/s, UHS I, Class 10, U3, V30 SDSDXXU 064G GN4IN 64 GB",849,23% Off,data-storage,noon
Kingston 512GB micSDXC Canvas Select Plus 100R A1 C10 Card + ADP 512.0 GB,"1,975",N/A,data-storage,noon
Kingston NV2 250G M.2 2280 PCIe 4.0 NVMe SSD 250 GB,"1,275",N/A,data-storage,noon
Sandisk Ultra Dual Drive Go USB Type-C 32 GB,329,N/A,data-storage,noon
Sandisk Ultra SDHC Memory Card 120MB/s 32 GB,350,56% Off,data-storage,noon
"Ugreen Enclosure USB3.0 For 2.5"" HDD And SSD - US221/30848 6 TB",499.95,N/A,data-storage,noon
"Lexar Lexar E21 32GB USB 2.0 Flash Drive, Mini USB Stick, 32 GB",165,41% Off,data-storage,noon
"Samsung 500GB 870 EVO SATA III 2.5"" Internal SSD, Up to 560 MB/s Seq Read & 530 MB/s Seq Write Speed, V-NAND Technology, 512MB LPDDR4 Cache, MKX Controller, 1.5M Hrs. MTBF, Black | MZ-77E500BW 500 GB","2,540",N/A,data-storage,noon
"Sandisk 64GB Ultra Flair, USB 3.0 Flash Drive 150MB/s Read 64 GB",350,36% Off,data-storage,noon
Sandisk 32GB Ultra Flair USB 3.0 Flash Drive SDCZ73-032G-G46 32 GB,259,N/A,data-storage,noon
crucial RAM 8GB DDR4 3200 MHz CL22 Desktop Memory UDIMM Voltage - 1.2V Speed PC4-25600 | CB8GU3200 8 GB,849,57% Off,data-storage,noon
"Sandisk SanDisk 128GB Ultra Dual Drive Luxe USB Type-C - SDDDC4-128G-G46, Silver 128 GB",725,N/A,data-storage,noon
"Sandisk 256GB Ultra UHS I MicroSD Card 150MB/s R, for Smartphones - SDSQUAC-256G-GN6MN 256 GB","1,100",64% Off,data-storage,noon
Sandisk Ultra SDXC UHS-I Card Speed Upto 140 MB/s 64 GB,399,17% Off,data-storage,noon
crucial 8GB RAM DDR4 2666 MHz Laptop Memory CB8GS2666 8 GB,999,N/A,data-storage,noon
"crucial BX500 SATA 2.5"" Internal SSD, 1TB Capacity, 540 Mb/s Sequential Read, 500 Mb/s Sequential Write, 360TB TBW SSD Endurance, Black | CT1000BX500SSD1 1000 GB","2,950",15% Off,data-storage,noon
HIKVISION USB 2.0 Flash Drive 64.0 GB,168,N/A,data-storage,noon
"Sandisk 2TB Portable SSD - two meter drop protection, 800MB/s Read Speed, USB 3.2 Gen 2 2 TB","7,777",N/A,data-storage,noon
Kingston 240GB A400 SSD Interne SSD 2.5 Zoll SATA Rev 3.0 - SA400S37/240G 240 GB,"1,115",N/A,data-storage,noon
"Sandisk Ultra Luxe, USB 3.2 Gen 1 Flash Drive, 400 MB/s 256 GB","1,035",N/A,data-storage,noon
HIKVISION T30 External Hard Drive Pen And USB 3.0 Port With Dark Blue Rubber Frame 1 TB,"2,875",11% Off,data-storage,noon
Kingston Kingston DataTraveler SE9 Gen 3-128GB - 220MB/s read- Metal - USB 3.2 - Gold 128 GB,577,N/A,data-storage,noon
Kingston Micro SDHC Class 4 Memory Card With SD Adapter Black,225,N/A,data-storage,noon
Sandisk Extreme  Memory Card 512 GB,"2,380",55% Off,data-storage,noon
Sandisk iXpand Flash Drive Flip Type A + Lightning 64 GB,"1,170",N/A,data-storage,noon
crucial Crucial 8GB DDR4-3200 SODIMM 8 GB,840,11% Off,data-storage,noon
"Sandisk 32GB Extreme PRO SDHC card + RescuePRO Deluxe, up to 100MB/s, UHS I, Class 10, U3, V30 SDSDXXO 032G GN4IN, Black 32 GB",479,N/A,data-storage,noon
crucial 16GB Single DDR4 3200 MT/S CL22 DR X8 Unbuffe SODIMM 260-Pin Memory Card Multicolour,"2,299",6% Off,data-storage,noon
"Transcend TS4TSJ25M3S 4TB Storejet 25M3S rugged 2,5inches USB 3.1 Gen 1 interface 4 TB","6,750",10% Off,data-storage,noon
"Kingston NV3 1TB M.2 2280 NVMe Internal SSD, Up to 6000MB/s Read, 4000MB/s Write Speed, Gen 4.0x4 NVMe PCIe Performance, 2.17G Vibration Operating, 320TBW | SNV3S/1000G 1000 GB","3,300",17% Off,data-storage,noon
Ugreen Hard Drive Enclosure Adapter USB 3.0 to SATA External Hard Disk Case for 2.5 Inch 9.5mm 7mm Sandisk WD Seagate Toshiba Samsung SATA III HDD SSD 6TB PS5 PS4 Black,499,41% Off,data-storage,noon
Seagate SV35 Series Desktop Hard Drive [ST2000VX000] 2.0 TB,"2,099",16% Off,data-storage,noon
Kingston Kingston DataTraveler SE9 Gen 3-256GB - 220MB/s read- Metal - USB 3.2 -Gold 256 GB,999,N/A,data-storage,noon
Sandisk 128GB Ultra Dual Drive Luxe USB Type-C 128 GB,820,N/A,data-storage,noon
"Sandisk Ultra Dual Drive Luxe USB type-c 256GB , USB 400 MB/S 256 GB","1,350",N/A,data-storage,noon
HIKVISION E100 2.5'' SATA 6Gb/s 512GB SSD 512 GB,"1,550",N/A,data-storage,noon
Samsung 870 Evo 2.5 Inch Sata Internal Solid State Drive (Ssd) 1.0 TB,"4,380",N/A,data-storage,noon
HIKSEMI SSD Internal M.2 NVMe SATA SSD with 256GB storage capacity,"1,100",N/A,data-storage,noon
"Ugreen 2-In-1 M.2 NVMe SSD Enclosure Adapter, Alluminum USB 3.1 GEN 2 10Gbps SSD Case USB A+C Connectors Grey","1,450",N/A,data-storage,noon
Lexar Lexar 32GB High-Performance 800x UHS-I SDHC Memory Card (BLUE Series) 32 GB,260,37% Off,data-storage,noon
Sandisk Ultra Dual Drive Go USB Type-C Flash Drive 256 GB,"1,250",N/A,data-storage,noon
Sandisk Extreme PRO microSDHC + SD Adapter + RescuePRO Deluxe 100MB/s A1 C10 V30 UHS-I U3 32 GB,529,11% Off,data-storage,noon
Kingston NV2 NVMe PCIe 4.0 SSD 1000G M.2 2280 SNV2S/1000G 1 TB,"2,900",17% Off,data-storage,noon
Kingston Fury Renegade 1TB PCIe Gen 4.0 NVMe M.2 Internal Gaming SSD | Up to 7300 MB/s | Graphene Heat Spreader | 3D TLC NAND | Works With PS5 | SFYRS/1000G - Solid State Drive 1 TB,"6,444",12% Off,data-storage,noon
"Lexar NM620 1TB SSD, PCIe 3.0 x4, NVMe 1.4, M.2 2280 1 TB","2,990",N/A,data-storage,noon
WD Surveillance Hard Disk Drive 4 TB,"4,699",N/A,data-storage,noon
WD 2TB My Passport Portable Storage USB 3.0 Hard Drive- WDBYVG0020BBK-WESN 2 TB,"3,799",7% Off,data-storage,noon
"WD SN580 NVMe M.2 2280 Internal SSD, 500GB Capacity, 4000Mbps Sequential Read, 3600Mbps Sequential Write, 300 TBW Endurance, PCIe Gen4 x4 Interface, Blue | WDS500G3B0E 500 GB","1,970",N/A,data-storage,noon
"crucial P3 1TB CT1000P3SSD8 PCIe 3.0, 3D NAND, NVMe, M.2 SSD, up to 3500MB/s, Black 1 TB","2,990",N/A,data-storage,noon
"WD SN580 NVMe M.2 2280 Internal SSD, 1TB Capacity, 4150Mbps Sequential Read & Write, 600 TBW Endurance, PCIe Gen4 x4 Interface, Blue | ‎WDS100T3B0E 1 TB","3,449",9% Off,data-storage,noon
Lexar Lexar JumpDrive M400 128G USB 3.0 Flash Drive 128 GB,375,55% Off,data-storage,noon
HIKSEMI Hiksemi 256Gb Internal Soild State Drive,"1,010",N/A,data-storage,noon
Sandisk Dual Drive Go USB Type-C™ - 128GB 128 GB,575,14% Off,data-storage,noon
Sandisk Ultra SDXC UHS-I Card Speed Upto 140 MB/s 128 GB,998.95,9% Off,data-storage,noon
"HIKVISION Hikvision 2.5 Inch Internal Ssd 512Gb, Sata 6Gb/S, Up To 550Mb/S E100 Solid State Disks 3D Nand Tlc 512 GB","1,299",7% Off,data-storage,noon
crucial 16GB RAM CB16GS2666 DDR4 2666 MHz Laptop Memory 16 GB,"2,299",N/A,data-storage,noon
Kingston Micsdxc Micro Sd Card With Canvas Select Plus Adapter - 64 Gb 64 GB,349,30% Off,data-storage,noon
crucial Internal SATA Solid State Drive - 240 GB,975,N/A,data-storage,noon
WD 1TB Surveillance Hard Disk Drive - SATA 6Gb/s 64MB Cache 3.5 Inch - WD10PURZ 1 TB,"1,745",51% Off,data-storage,noon
