title,price,offer
"Anker 20000 mAh Anker Zolo Power Bank, 20,000mAh 30W High-Speed Portable Charger with Built-In USB-C Cable, 1 USB-C, 1 USB-A, Battery Pack For iPhone 16/16 Plus/16 Pro/16 Pro Max/15/14/13 Series, Galaxy, and More BLACK","1,699",8% Off
JOYROOM 10000.0 mAh JOYROOM POWER BANK 22.5W 10000MAH PD QC3.0 AFC  (JR-QP191) Black,790,43% Off
"JOYROOM 30000 mAh Laptop Power Bank, 2 USB C PD 65W Portable Charger For Laptop, Fast Charging Smart LED Display, For iPhone 15 Pro/Plus/Max/14/13/12 Series, MacBook Pro/Air, Dell, XPS, ASUS, iPad, Samsung Etc Black","2,099",5% Off
JOYROOM 30000 mAh 30000mAh 2 Input 3 Output Power Bank Big LED Display PD 3.0 QC 3.0 External Battery Charger Black,"1,290",6% Off
JOYROOM 10000 mAh JOYROOM JR-PBM01 PD 20W PHONE POWER BANK MAGNETIC WIRELESS CHARGER WITH BUILT-IN CABLE / KICKSTAND - Black,"1,349",59% Off
"Anker 5000 mAh Power Bank, 321 Magnetic Battery (PowerCore Magnetic 5K), 5,000mAh Magnetic Wireless Portable Charger, Compatible with iPhone 14/14 Pro / 14 Plus / 14 Pro Max, iPhone 13 and 12 Series White","1,199",6% Off
"Anker 60000 mAh 548 Power Bank (PowerCore Reserve 192Wh), 60,000mAh Portable Charger with Smart Digital Display, SOS Mode, 60W Output for Emergency and Travel Green","6,299",N/A
Earldom 10000.0 mAh Power Bank with 3 Wire In-Built Charging Cable And LCD Display Black,492.45,N/A
"Anker 20000 mAh Power Bank, 30W, 2 Ports - A1384H21 White","2,500",N/A
"Anker 10000 mAh MagGo Magnetic Battery, 10,000mAh Foldable 15W Wireless Portable Charger, 7.5W USB-C Power Delivery Power Bank with Stand, Magsafe-Compatible for iPhone 15/14/13/12 Series Black","2,450",N/A
"JOYROOM 10000 mAh Joyroom - Magnetic Power Bank (20W) - MagSafe Compatible, USB-C Port, Including USB-C to Lightning Cable Blue","1,079",78% Off
JOYROOM 5000 mAh Powerbank Joyroom JR-W020 Mini 5000mAh USB-A USB-C inductive 20W - USB-C / USB-C cable Black,749,9% Off
Ugreen 20000 mAh UGREEN 20000mAh 20W Two-way Fast Charging Power Bank Grey,"1,299",9% Off
"Anker 320 Wh 522 Portable Power Station 320Wh,Over 3,000 Charge/Discharge Cycles, Equipped with 2 USB-C Ports, AC300W, Pure Sine Wave, PowerIQ 3.0 Camping, Outdoors, Emergency Power Supply - Black","14,949",N/A
JOYROOM 30000 mAh Powerbank joyroom JR-QP193 22.5W 30000mah Black Black,"1,189",14% Off
JOYROOM 75000 mAh Power Bank Power Station Portable Outdoor Generator 100W With Smart Digital Display Retractable Auto Lighting And SOS Mode Home Backup Olive Green,"4,599",8% Off
