name,price,Original Price,category,site
"BOYA Lavalier Lapel Microphone - No Battery, by-M1 Pro ll Omnidirectional Condenser Mic for iPhone Camera Android PC Windows - for YouTube, Interview, Video Recording 19.6ft",581..00,EGP 665.42,Camera,amazon
"TP-Link Tapo 2K Pan Tilt Security Camera for Baby Monitor, Dog Camera w/Motion Detection, 2-Way Audio Siren, Night Vision, SD Card Storage (Up to 256 GB), Works with Alexa & Google Home (C210)",N/A,N/A,Camera,amazon
"Mini Portable Projector 5G Wifi 6 Bluetooth 5.0 Android 11, Projector 4K 1080P Full HD Support 8000 Lumens, Horizontal Keystone Correction Auto Led Projector, 180°Rotating Projector for Telephone","4,400..00","EGP 4,743.00",Camera,amazon
"Portable Mini projectors LED Micro Projector 1080P Home Party Meeting Theater Projector(2020 Upgraded Version), Wi-Fi",974..00,N/A,Camera,amazon
"Safety Net Mini Camera Wireless WiFi Small Camera 1080P HD Home Security Surveillance Cameras with Night Vision, Tiny Cameras for Indoor/Outdoor Using",N/A,N/A,Camera,amazon
"UGREEN 8K HDMI Cable, Ultra HD High-Speed 48Gbps HDMI 2.1 Cord, Support 8K@60Hz, 4K@120Hz, eARC Dynamic HDR Dolby Vision for MacBook 2021 Pro PS5, PS4, Nintendo Switch, Samsung TV, Roku Braided -3M",489..00,EGP 504.00,Camera,amazon
Shahn Camera Stand Clip Bracket Holder Tripod Monopod Mount Adapter for Mobile Phone (Vertical Mobile Holder),153..00,EGP 170.00,Camera,amazon
"KIDSZONE Instant Print Camera for Kids - 1080P HD, 48MP, 32G Card, Bluetooth, Free App, 4 Rolls Print Paper, Stickers, Fun Filters, Gift for Boys and Girls - Pink Camera for Kids 3-12 years (Pink)","1,399..99",N/A,Camera,amazon
"Mobile Phone Chest Mount Strap Holder, Anti Slide Strap Mount for Phone/GoPro Hero 360 Degree Rotary for Video Recording Camera Harness",268..20,EGP 299.00,Camera,amazon
"EZVIZ H8 Pro Wi-Fi Camera 5MP 4mm,3K Resolution, Pan & Tilt","4,500..00","EGP 5,585.00",Camera,amazon
CAME-TV 3 Pcs Boltzen 30w Fresnel Fanless Focusable LED Daylight Package - B-30-3PACK,"7,193..17",N/A,Camera,amazon
SanDisk Ultra 32GB SDHC Memory Card 100MB/s,170..74,EGP 259.00,Camera,amazon
"ULANZI VL119 Handheld Light Wand, 360° RGB LED Video Lights Stick for Photography, 2600mAh Rechargeable Tube Lights for Video Shooting, 2500-9000K Dimmable Camera Light with LCD","1,305..00",N/A,Camera,amazon
"TP-Link Tapo 2K Outdoor Pan/Tilt Security Wi-Fi Camera, IP65 Weatherproof, Motion Detection, 360° Visual Coverage,Full-Colour Night Vision,Local Storage,Works with Alexa&Google Home(Tapo TC41)",N/A,N/A,Camera,amazon
