name,price,Original Price,category,site
"Redragon GS560 RGB Desktop Soundbar, 2.0 Channel Computer Speaker with Dynamic Lighting Bar Audio-Light Sync/Display, Touch-Control Backlit with Volume Knob, USB Powered w/ 3.5mm Cable, White","1,499..00",N/A,Speakers,amazon
"Lava subwoofer 3 inch with remote control contains a usb port, a memory card, bluetooth, audio input and an input to connect to the computer",799..00,N/A,Speakers,amazon
"Soundcore Motion 300 Wireless Hi-Res Portable Speaker with BassUp, Bluetooth with SmartTune Technology, 30W Stereo Sound, 13H Playback, and IPX7 Waterproof, Black, 18 Months Warranty","4,888..00","EGP 6,879.00",Speakers,amazon
"Mini Bluetooth Speaker M3 Portable Wireless Micro SD, and Rechargeable Battery for Smartphones & Tablets, high-quality sound, Gift For Men Woman (Gold)",179..00,N/A,Speakers,amazon
"JBL Flip Essential 2 Portable Bluetooth Speaker with Rechargeable Battery, IPX7 Waterproof, 10h Battery Life, JBLFLIPES2, lite Black dark grey |1 year manufacturer warranty","5,390..00","EGP 5,884.00",Speakers,amazon
"Redragon Gaming Soundbar GS560 Adiemus, RGB, Compact Size, Excellent Sound, RED-GS560, Black","1,499..00",N/A,Speakers,amazon
"MediaTech 2.1 Stereo Speaker, 60 Watt, Bluetooth, Optical input, SD, USB, AUX, Remote, Optical cable (3M), RCA Cable,MT-854/ Black","2,550..00","EGP 2,915.50",Speakers,amazon
"Sony SRS-XB100 Wireless Bluetooth Portable Lightweight Super-Compact Travel Speaker, Extra-Durable IP67 Waterproof & Dustproof, 16 Hour Battery, Versatile Strap, and Hands-free Calling, Blue NEW","2,181..99","EGP 4,190.00",Speakers,amazon
JBL Partybox 310 | Portable Bluetooth Party Speaker | 240W Monstrous Pro Sound | Dynamic Light Show | Backlit Panel | Telescopic Handle & Wheels | Guitar & Mic Support PartyBox App (Black),"30,789..52","EGP 33,103.00",Speakers,amazon
"Soundcore Anker Rave Neo 2 Portable Speaker with 80W Stereo Sound, PartyCast 2.0, Light Show, IPX7 Waterproof, 18H Playtime, Customizable EQ & Bass Up for Party, Tailgating, Black, 18 Months Warranty","6,999..00",N/A,Speakers,amazon
