name,price,Original Price,category,site
"SanDisk 2TB Extreme Portable SSD - Up to 1050MB/s, USB-C, USB 3.2 Gen 2, IP65 Water and dust Resistance, External Solid State Drive, Sky Blue - SDSSDE61-2T00-G25B","8,799..00",N/A,PC,amazon
"Samsung Galaxy Tab A9 4G LTE, 8.7 Inch Android Tablet, 8GB RAM, 128GB Storage, 8MP Rear Camera, Navy-1 Year Warranty/Local Version","9,400..00","EGP 13,100.00",PC,amazon
"TwinMOS AlphaPro PCIe Gen3 NVMe M.2 2280 SSD Hard Drive, 256 GB Capacity, Black | TLC 3D NAND | 1000 TB or 900 GB/Day | 5 Years Local Warranty","1,137..00",N/A,PC,amazon
"Samsung Galaxy Tab S9 FE+ 5G Android Tablet, 12.4 inches Display, 8GB RAM, 128GB Storage, S Pen Included, Gray - 1 Year Warranty/Local Version","29,950..00","EGP 36,999.00",PC,amazon
"Hikvision e100 2.5'' ssd 128gb, internal solid state drive disk storage for laptop desktop, up to 550 mb/s 3d nand sata iii 2.5 inch",601..87,EGP 640.00,PC,amazon
"Flashget V8 RGB Gaming Headset, 7.1 Surround Sound PS4 Headset with Microphone, For Games, PC Headphones, Heavy Bass, Telescopic, Noise Isolation, Wired, FPS Compatible, LED Light,",444..00,EGP 499.00,PC,amazon
"Coolzon 12 Inch Pink LCD Writing Tablet for Children, Portable Drawing Graphic Tablet with Delete Button, USB Connectivity",115..00,EGP 219.99,PC,amazon
"HP Laptop 15s (15s-fq5042ne), CPU: Core i7-1255U, 16GB DDR4 2DM 3200 Graphics Card: Intel Iris Xe , VRAM: Shared, Display: 15.6 FHD Antiglare ultraslim SVA 250 nits Narrow Border, 512GB, Windows 11","28,888..00","EGP 35,399.00",PC,amazon
"PHILIPS Evnia 25M2N3200W - 24.5 Inch Gaming Monitor, VA, 240Hz, 1ms GTG, Low Input Lag, Smart Contrast, Height Adjust (1920 x 1080 @ 240Hz, 300 cd/m², HDMI 2.0 / DP 1.4)","6,999..00","EGP 7,999.00",PC,amazon
"USB C Hub 4 Ports 3.0/2.0, USB Splitter Aluminum Alloy Lightweight, Compact Maximum Transmission Rate: 5Gbps Windows, Mac, PS-4, PS-5, Chrome-Book",145..00,N/A,PC,amazon
Hikvision microSDHC UHS-I 92 MB/s Card with Adapter 64GB,227..00,N/A,PC,amazon
"MELOGAGA Wireless Gaming Mouse Bluetooth Mouse RGB Rechargeable 2.4G USB Cordless Computer Mice with 7 Color Backlit, 6 Buttons & Silent Click for Laptop, iPad, Mac OS, PC, Windows -Black",350..00,N/A,PC,amazon
"Oraimo 20W Type C Fast Charger PD 3.0 USB C Wall Adapter,Compatible for iPhone 14/14 Plus/14 Pro/14 Pro Max/13/12/12 Pro Max/11/Xs Max/XR/X, iPad/iPad Mini, and More",179..00,EGP 199.00,PC,amazon
"Adjustable Laptop Stand, Portable Aluminum Laptop Riser Laptop Holder for Desk, Foldable Ventilated Cooling Notebook Stand for MacBook Pro/Air, HP, Lenovo, Sony, Dell, More 10-15.6” Laptops, Tablets",186..00,EGP 222.00,PC,amazon
"ZENVAN USB C Digital to 3.5 mm Female Headphone Jack Adapter, Type C Aux Audio Dongle Converter Fits Various Smart Phones - Black",44..00,EGP 54.00,PC,amazon
Hikvision HIKSEMI - Micro Card 64GB,199..00,N/A,PC,amazon
Hp 137fnw personal laser multifunction printer,"10,199..00","EGP 14,792.00",PC,amazon
"SanDisk Ultra Flair 128GB, USB 3.0 Flash Drive, 150MB/s read",480..74,EGP 643.00,PC,amazon
"Apple Macbook Air 2020 Model, (13-Inch, Apple M1 chip with 8-core CPU and 7-core GPU, 8GB, 256GB, MGN63), Eng-KB, Space Gray","36,090..25","EGP 37,950.00",PC,amazon
"TP-Link Nano USB Wifi Dongle 150Mbps High Gain Wireless Network Adapter for PC Desktop and Laptops. Supports Win10/8.1/8/7/XP Linux 2.6.18-4.4.3, Mac OS 10.9-10.15 (TL-WN722N)",410..00,EGP 449.00,PC,amazon
"Laptop Stand, 9 Levels Aluminium Laptop Stand, Portable, Height-Adjustable, Ventilated Notebook Stand, Compatible with MacBook Pro Air, Lenovo, Dell, 10-15.6 Inch Laptops Tablet, Silver",170..00,N/A,PC,amazon
"Generic LCD Writing Electronic Tablet- Drawing Memo Board with Stylus 8.5 Inch, Assorted colors",61..60,EGP 94.00,PC,amazon
Kingston 128GB DataTraveler Exodia Onyx Flash Drive 3.2 Gen 1 - DTXON/128GB,N/A,N/A,PC,amazon
"Samsung 22-Inch IPS Gaming Monitor with Borderless Design, VGA and HDMI, 5ms GtG, 75hz with Game Mode, Supports AMD FreeSync, Local Warranty.","3,600..00",N/A,PC,amazon
