name,price,Original Price,category,site
"HP Laptop 15s (15s-fq5048ne), CPU: Core i3-1215U, 4GB DDR4 1DM 3200 Graphics Card: Intel UHD Graphics - UMA, VRAM: Shared, Display: 15.6 FHD SVA 250 nits Narrow Border, 256GB, Windows 11","17,400..00","EGP 19,999.00",Laptops,amazon
"HP Pavilion X360 2-in-1 Laptop (14-EK0011NE), Intel Core i5 1235U, 12th Generation, 8GB DDR4 3200, 512GB SSD - Silver","25,514..27",N/A,Laptops,amazon
"Lenovo IdeaPad 1, CPU: Intel® Core™ i7-1255U, 8GB Soldered DDR4-3200, Display: 15.6"" FHD (1920x1080) TN 220nits Anti-glare, 512GB SSD, Windows® 11 Home (82QD00AVED) 2 Years Local Warranty by Lenovo","21,945..00",N/A,Laptops,amazon
"Lenovo IdeaPad Slim 3 83ER007YED, Intel Core i5-12450H, 8GB Ram, 512 SSD, Integrated Intel UHD Graphics,Win11, Arctic Grey, 2 Years Warranty, Free Laptop Bag","23,799..00","EGP 25,014.00",Laptops,amazon
"LENOVO LOQ Gaming Laptop 15IAX9 Core I5 12450HX 12GB - 4800, 512SSD, RTX3050 6GB, 15.6"" FHD- 144Hz- 300 nits- Backlit Keyboard - Grey- 83GS001CUS Win11",N/A,N/A,Laptops,amazon
"Dell Inspiron 3520 Laptop - 12th Intel Core i5-1235U 10-Cores, 8GB RAM, 256GB SSD, Intel UHD Graphics, 15.6"" FHD (1920 x 1080) 120Hz 250 nits Anti-Glare, Windows 11 - Carbon Black","24,289..00",N/A,Laptops,amazon
"HP Victus FA0033DX Gaming Laptop - Intel Core i5-12450H, NVIDIA GeForce RTX 3050, 8GB RAM, 512GB SSD, FHD 144Hz Display - High Performance for Gaming & Productivity, Blue","33,300..00",N/A,Laptops,amazon
"Apple 2024 MacBook Pro (14-inch, Apple M4 chip with 10-core CPU and 10-core GPU, 16GB Unified Memory, 512GB) - Space Black","94,950..00",N/A,Laptops,amazon
"Lenovo IdeaPad Slim 3 15IRH8 Laptop - 13th Intel Core i5-13420H, 8GB DDR5 RAM, 512 GB SSD, Integrated Intel UHD Graphics, 15.6"" FHD (1920x1080) TN 250nits Anti-glare //Win 11//BAG//2 Years Warranty//","25,030..90",N/A,Laptops,amazon
"HP Envy X360 16-ac0013dx Covertible 2n1 Laptop - Intel core Ultra 5 125U 12-cores, 16GB LPDDR5-6400 RAM, 512GB SSD, 16"" WUXGA (1920X1200) IPS Touch, Backlit, FingerPrint, Windows 11 - Glacier Silver","42,174..00",N/A,Laptops,amazon
"Apple 2024 MacBook Air 13-inch Laptop with M3 chip: 13.6-inch Liquid Retina Display, 8GB Unified Memory, 256GB SSD Storage, Backlit Keyboard, 1080p FaceTime HD Camera, Touch ID; Midnight","55,950..00","EGP 59,599.00",Laptops,amazon
"ASUS Vivobook 15|AMD Ryzen 7-7730U|8GB DDR4|AMD Radeon Graphics|15.6"" FHD (1920 x 1080) 16:9 aspect ratio 250 Nits 60HZ Referesh Rate|512GB SSD|Windows 11 (D1502YA-NJ007W)1 Year Perfect Warranty","27,314..83",N/A,Laptops,amazon
"Apple 2024 MacBook Pro Laptop with M4 Pro, 14‑core CPU, 20‑core GPU: Built for Apple Intelligence, 16.2-inch Liquid Retina XDR Display, 24GB Unified Memory, 512GB SSD Storage; Space Black","139,950..00","EGP 148,824.00",Laptops,amazon
"HP Probook 470 G10-8A6D0EA, Intel Core-i5-1335U, 16GB RAM, 512GB SSD, Intel Iris Xe Graphics, 17.3 Inch FHD-300nits-IPS, Island Style KB, Asteroid Silver","33,603..00",N/A,Laptops,amazon
"MSI Modern 15 H B13M Laptop - Intel Core i7-13620H - 8GB - 512GB SSD - Intel Iris Xe Graphics - 15.6"" FHD - Classic Black","26,299..00",N/A,Laptops,amazon
MacBook Air 15inch M3 chip 8-core CPU and 10-core GPU - 16GB - 512GB SSD - Midnight - Z1GG,"80,950..00",N/A,Laptops,amazon
"Lenovo LOQ 15IRX9 Gaming Laptop - 13th Intel Core i7-13650HX, 16GB DDR5 RAM, 1TB SSD, AI Chip: LA1, NVIDIA GeForce RTX 3050 6GB GDDR6 Graphics, 15.6"" FHD (1920x1080) IPS 144Hz 100% sRGB, Win 11","49,787..00",N/A,Laptops,amazon
"HP Victus 16-r0043ne Gaming Laptop - 13th i7-13700H 14-Cores, 16 GB DDR5-5200 MHz RAM, 1TB SSD, 16.1"" FHD (1920X1080) 144 Hz IPS, NVIDIA GeForce RTX 4060 8GB GDDR6 Graphics, Backlit Keyboard - Blue","63,019..00",N/A,Laptops,amazon
