name,price,Original Price,category,site
"JAC 43 Inch FHD Smart LED TV NGLD, Black - 43JC6121B",N/A,N/A,Televisions,amazon
TORNADO 4K Smart Frameless QLED TV 65 Inch Built-In Receiver 65QS3500E,"24,299..00","EGP 30,299.00",Televisions,amazon
"SHARP Smart Frameless LED TV 32 Inch HD With Android System, Built-In Receiver, 2 HDMI and 2 USB Inputs - 2T-C32DG6EX","8,699..00",N/A,Televisions,amazon
"Hoho 32 Inch HD Standard LED TV, HK 3205 - Black","4,099..00",N/A,Televisions,amazon
Samsung 85 Inch TV Neo Quantum Processor 4K QLED - Titan Black - QA85QN85DBUXEG [2024 Model],"139,999..00",N/A,Televisions,amazon
32 Inch Hd Smart Led Tv Hk3205S 731.8 * 98.3 * 435.1mm Black,"4,999..00",N/A,Televisions,amazon
JAC 32AS 32 Inch HD LED TV,"4,699..00",N/A,Televisions,amazon
Samsung 55 Inch QLED-The Frame 4K Smart TV- QA55LS03DAUXEG [2024 Model],"35,460..00","EGP 43,999.00",Televisions,amazon
Haier H50S80EU- 50 Inch 4K QLED Smart Google TV - Gaming@120 Hz - Dolby Vision & Atmos - MEMC/VRR/ALLM - 2+32GB RAM/ROM - Voice Control - HDR10 - Chromecast- HDMI 2.1 - Premium Bezel-Less Design,"18,616..86",N/A,Televisions,amazon
"RT Home FHD LED TV 40 INCH - I Cast (RT-40A),Black","6,909..00",N/A,Televisions,amazon
JAC 32 Inch HD LED Smart Android TV With Metal Frame - 132ASS1,"5,999..00",N/A,Televisions,amazon
Samsung 65 Inch TV Neo Quantum Processor 4K QLED - Carbon Silver - QA65QN90DAUXEG [2024 Model],"65,119..00",N/A,Televisions,amazon
Samsung 85 Inch QLED 4K Smart TV - Titan Gray - QA85Q70DAUXEG [2024 Model],"96,999..00",N/A,Televisions,amazon
Tornado 65 Inch 4K UHD Smart Android Frameless LED TV with Remote Control and Wifi Connection - 65UA1400E,"25,000..00",N/A,Televisions,amazon
"43 Inch FHD Standard LED TV, HK4305 - Black","7,099..00","EGP 7,475.00",Televisions,amazon
Samsung 75 Inch TV Quantum Processor 4K QLED - Carbon Silver - QA75Q80CAUXEG [2023 Model],"78,299..00",N/A,Televisions,amazon
"Grand 32 Inch TV - Full HD LED, Enhanced Colors, Surround Sound, HDMI and USB Inputs","4,250..00",N/A,Televisions,amazon
SHARP 4K Smart Frameless TV 50 Inch Built-In Receiver 4T-C50FL6EX,"20,986..33",N/A,Televisions,amazon
"TORNADO 4K Smart DLED TV 58 Inch, WiFi Connection - 58US1500E - Shahid VIP Promotion","19,236..33",N/A,Televisions,amazon
"ماستر اليكترون شاشة عرض ٣٢"" ذكية بدون اطار اتش دي 1 قطعه","5,722..03","EGP 5,899.00",Televisions,amazon
Sharp 55 inch 4K Ultra HD LED Smart Android TV with Remote Control and Built-in Receiver - 4T-C55DL6EX - Promotions (Shahid VIP and STARZPLAY),N/A,N/A,Televisions,amazon
SHARP 4K Smart Frameless TV 75 Inch Built-In Receiver 4T-C75FN6EX,"44,999..00","EGP 49,999.00",Televisions,amazon
Haier H43K70EF- 43 Inch FHD TV - Stereo Speaker - Miracast - Dolby Audio - Built in receiver - Bezel-Less Design - HDMI- Wide Viewing Angle,"10,242..00",N/A,Televisions,amazon
Fresh 43LF320 43 Inch Full HD LED Smart TV - Black,"11,647..00",N/A,Televisions,amazon
"Grouhy 50 Inch FHD Smart LED Frameless TV With Built In Receiver, Black - GLD50SAWOR","12,599..00","EGP 13,999.00",Televisions,amazon
"Evolve 43 Inch Full HD Smart LED TV, Black - VLD43SAWOR","7,999..00",N/A,Televisions,amazon
"ATA Gold Plus 32 Inch HD Standard LED TV, Black - GOLD32HON","4,199..00",N/A,Televisions,amazon
"Grouhy 43 Inch FHD Standard LED TV, Black - GLD43NA",N/A,N/A,Televisions,amazon
"Xiaomi Mi TV Stick 4K Ultra HD Streaming Device, Android TV 11 with Google Assistant Voice Remote Control Streaming Media Player, Chromecast Built-in, 2GB 8GB HDR/AV1/2.4G/5G WiFi/BT 5.2, 2022 Latest","3,295..00",N/A,Televisions,amazon
