title,price,original_price,category,site
"TP-Link Tapo Pan/Tilt 1080p Resolution, 360°Rotational View Security Camera|Motion Tracking |Motion & Baby Crying Detection| 2-Way Audio | Night Vision | Works with Alexa & Google Home (Tapo C200)",,,Camera,amazon
Hikvision HIKSEMI - Micro Card 32GB,149..00,,Camera,amazon
"YUWAKAYI 7 in 1 Electronic Cleaner Kit, Keyboard Cleaner Kit with Brush, 3 in 1 Cleaning Pen for Airpods Pro, Multifunctional Cleaning Kit for Earphone, Keyboard, Laptop, Phone, PC Monitor(Blue)",125..00,EGP 134.55,Camera,amazon
SanDisk Ultra microSDXC 128GB 100MB/s Class 10 UHS-I,610..00,,Camera,amazon
"Tapo TP-Link 1080p Full HD Outdoor Pan/Tilt Security Wi-Fi Camera, 360° Motion Detection, IP65 Weatherproof, Night Vision, Cloud &SD Card Storage, Works with Alexa&Google Home (C500) White",,,Camera,amazon
"K9 Dual Wireless Microphone Works, Digital Mini Lavalier Microphones, Lapel Clip-on Collar Microphone",275..00,EGP 330.00,Camera,amazon
"BOYA Omic-U Wireless Lavalier Microphone for USB-C Android Smartphone, iPhone 15 Series, Magnetic Back Clip, Portable Soft Charging Case,Plug Play Mini Lapel Mics","3,600..00",,Camera,amazon
"Anker eufy Security Indoor Camera C220 with 2K Clarity, 360° Horizontal View, AI Monitoring and Motion Detection, Two-Way Audio, Anker Turkey Guaranteed","1,520..00","EGP 1,580.00",Camera,amazon
BOYA BY-V20 Ultracompact Wireless Microphone System for USB-C Devices (2.4 GHz) - Black,"1,943..00","EGP 2,103.00",Camera,amazon
"Xiaomi Smart Camera C300 2K Ultra HD with 360° Pan-Tilt-Zoom, AI Human Detection, F1.4 Large Aperture, 6P Lens, Two-Way Audio, Night Vision - White |6 month manufacturer warranty","2,415..00",,Camera,amazon
EZVIZ C1C-B HD Resolution Indoor Wi-Fi Security Camera - 1080 Pixels,895..00,,Camera,amazon
Godox ms200 monolight studio flash,"4,129..65",,Camera,amazon
SanDisk Extreme microSDXC UHS-I CARD 64GB,419..00,,Camera,amazon
"Tapo TP-Link 2K Indoor Security Camera for Baby Monitor, Dog Camera w/Motion Detection, 2-Way Audio Siren, Night Vision, Cloud &SD Card Storage (Up to 256 GB), Works with Alexa & Google Home (C110)",999..00,,Camera,amazon
EZVIZ C8C 1080P Wifi Smart Home Outdoor Security Camera Color Night Vision 360 Degree IP65 Dust and Water Protection AI-Powered Human Detection Active Defense EZVIZ Cloud/SD Card Storage,"3,100..00",,Camera,amazon
20 in 1 Multifunctional Electronics Cleaning Kit 2024 New Upgrade Cleaner Keyboard Cleaner Kit Airpod Pro Cleaning Pen Brush Tools for Earbuds/MacBook/Headphone/Earphones/iPad/iPhone,195..00,EGP 217.00,Camera,amazon
"IVANKY 4K HDMI Cable 6ft, 18Gbps High Speed HDMI 2.0 Cable, Supports 4K@60Hz, HDCP 2.2, 1080p, Ethernet, ARC, 3D, HDMI Cord for Gaming Monitor, PS4/PS3, PC",170..00,EGP 28.33,Camera,amazon
"4K DisplayPort to HDMI Cable, DP to HDMI Cord Male to Male for PC, Desktop to Monitor, Projector, TV (1.8M)",127..00,,Camera,amazon
HiLook by Hikvision THC-T120-PC 2mp Indoor HD 20 meter IR night vision EXIR Bullet 4-in-1 Camera – White,368..00,,Camera,amazon
fosa Mini Projector Portable 1080P LED Projector Home Cinema Theater Indoor/Outdoor Movie projectors Support Laptop PC Smartphone HDMI Input,998..00,,Camera,amazon
